Name,Slug,MinPrice,DiscountPercent,ShortDescription,Description,Brand,Status,CategoryIDs
iPhone 15 Pro Max 2156GB,iphone-15-pro-max-256gb,1199,10,Flagship Apple với chip A17 Pro,Flagship Apple với chip A17 Pro,Apple,active,1
iPhone 15 Pro 128GB,iphone-15-pro-128gb,999,5,iPhone Pro với camera 48MP,iPhone Pro với camera 48MP,Apple,active,1
iPhone 15 128GB,iphone-15-128gb,799,8,iPhone tiêu chuẩn với Dynamic Island,iPhone tiêu chuẩn với Dynamic Island,Apple,active,1
iPhone 14 128GB,iphone-14-128gb,699,15,"iPhone thế hệ trước, giá tốt","iPhone thế hệ trước, giá tốt",Apple,active,1
iPhone SE 2022 64GB,iphone-se-2022-64gb,429,20,iPhone giá rẻ với chip A15,iPhone giá rẻ với chip A15,Apple,active,1
Samsung Galaxy S24 Ultra 256GB,samsung-galaxy-s24-ultra-256gb,1299,12,Flagship Samsung với S Pen tích hợp,Flagship Samsung với S Pen tích hợp,Samsung,active,1
Samsung Galaxy S24+ 256GB,samsung-galaxy-s24-256gb,999,10,Galaxy S24 Plus màn hình lớn,Galaxy S24 Plus màn hình lớn,Samsung,active,1
Samsung Galaxy S24 128GB,samsung-galaxy-s24-128gb,799,8,Galaxy AI tích hợp sẵn,Galaxy AI tích hợp sẵn,Samsung,active,1
Samsung Galaxy Z Fold5 256GB,samsung-galaxy-z-fold5-256gb,1799,15,Điện thoại gập cao cấp,Điện thoại gập cao cấp,Samsung,active,1
Samsung Galaxy Z Flip5 128GB,samsung-galaxy-z-flip5-128gb,999,18,Điện thoại gập nhỏ gọn,Điện thoại gập nhỏ gọn,Samsung,active,1
Samsung Galaxy A54 128GB,samsung-galaxy-a54-128gb,449,10,Tầm trung Samsung bán chạy nhất,Tầm trung Samsung bán chạy nhất,Samsung,active,1
Samsung Galaxy A34 128GB,samsung-galaxy-a34-128gb,349,12,Galaxy A series giá hời,Galaxy A series giá hời,Samsung,active,1
Xiaomi 14 Ultra 512GB,xiaomi-14-ultra-512gb,1099,10,Flagship Xiaomi với camera Leica,Flagship Xiaomi với camera Leica,Xiaomi,active,1
Xiaomi 14 256GB,xiaomi-14-256gb,699,8,Xiaomi 14 Snapdragon 8 Gen 3,Xiaomi 14 Snapdragon 8 Gen 3,Xiaomi,active,1
Xiaomi Redmi Note 13 Pro 128GB,xiaomi-redmi-note-13-pro-128gb,299,5,Redmi tầm trung camera 200MP,Redmi tầm trung camera 200MP,Xiaomi,active,1
Xiaomi Redmi Note 13 128GB,xiaomi-redmi-note-13-128gb,199,10,Redmi phổ thông giá rẻ,Redmi phổ thông giá rẻ,Xiaomi,active,1
Xiaomi POCO F6 Pro 256GB,xiaomi-poco-f6-pro-256gb,449,15,POCO hiệu năng cao giá tốt,POCO hiệu năng cao giá tốt,Xiaomi,active,1
Google Pixel 8 Pro 128GB,google-pixel-8-pro-128gb,999,10,Pixel với AI Google tích hợp,Pixel với AI Google tích hợp,Google,active,1
Google Pixel 8 128GB,google-pixel-8-128gb,699,12,Pixel 8 với Tensor G3,Pixel 8 với Tensor G3,Google,active,1
Google Pixel 7a 128GB,google-pixel-7a-128gb,499,20,Pixel giá rẻ camera xuất sắc,Pixel giá rẻ camera xuất sắc,Google,active,1
OPPO Find X7 Ultra 256GB,oppo-find-x7-ultra-256gb,999,10,OPPO flagship camera Hasselblad,OPPO flagship camera Hasselblad,OPPO,active,1
OPPO Reno 11 Pro 256GB,oppo-reno-11-pro-256gb,499,8,OPPO tầm trung cao cấp,OPPO tầm trung cao cấp,OPPO,active,1
OPPO A79 128GB,oppo-a79-128gb,249,5,OPPO phổ thông pin lớn,OPPO phổ thông pin lớn,OPPO,active,1
