"Name","Slug","MinPrice","DiscountPercent","ShortDescription","Description","Brand","Status","CategoryIDs"
"iPhone 15 Pro Max","iphone-15-pro-max","1199","10","Flagship Apple với chip A17 Pro","iPhone cao cấp với hiệu năng mạnh và camera chất lượng","Apple","active","1"
"Samsung Galaxy S24 Ultra","samsung-galaxy-s24-ultra","1299","12","Flagship Samsung với S Pen","Samsung cao cấp với màn hình lớn và nhiều tính năng AI","Samsung","active","1"
"MacBook Air M3","macbook-air-m3","1099","5","Laptop mỏng nhẹ chip M3","MacBook Air phù hợp học tập công việc và pin lâu","Apple","active","5"
"Dell XPS 15","dell-xps-15","1399","10","Ultrabook Dell cao cấp","Laptop hiệu năng cao thiết kế đẹp cho dân văn phòng","Dell","active","5"
"AirPods Pro 2nd Gen","airpods-pro-2nd-gen","249","10","Tai nghe chống ồn Apple","Tai nghe không dây cao cấp với chống ồn chủ động","Apple","active","12"
"iPad Pro M2","ipad-pro-m2","1099","5","Máy tính bảng mạnh nhất Apple","iPad hiệu năng cao phù hợp sáng tạo và giải trí","Apple","active","13"
"Apple Watch Series 9","apple-watch-series-9","429","10","Đồng hồ Apple thế hệ mới","Smartwatch theo dõi sức khỏe và đồng bộ tốt với iPhone","Apple","active","14"
"Xiaomi 14 Ultra","xiaomi-14-ultra","1099","10","Flagship Xiaomi camera Leica","Xiaomi cao cấp nhất với cảm biến 1 inch và ống kính Leica","Xiaomi","active","1"
"Google Pixel 8 Pro","google-pixel-8-pro","999","15","Điện thoại thuần Android nhất","Pixel với tính năng AI độc quyền và camera chụp ảnh ấn tượng","Google","active","1"
"OPPO Find X7 Ultra","oppo-find-x7-ultra","949","8","OPPO flagship camera tiềm vọng","Điện thoại chụp ảnh hàng đầu với hệ thống 4 camera 50MP","OPPO","active","1"
"OnePlus 12","oneplus-12","799","12","Flagship OnePlus hiệu năng cao","Cấu hình cực mạnh với sạc siêu nhanh và màn hình đẹp","OnePlus","active","1"
"Sony Xperia 1 V","sony-xperia-1-v","1199","5","Smartphone chuyên nghiệp cho fan Sony","Màn hình 4K OLED và cảm biến Exmor T cho di động","Sony","active","1"
"Vivo X100 Pro","vivo-x100-pro","899","10","Flagship Vivo camera Zeiss","Hợp tác với Zeiss cho khả năng chụp ảnh chân dung xuất sắc","Vivo","active","1"
"Asus ROG Phone 8 Pro","asus-rog-phone-8-pro","1199","5","Điện thoại gaming mạnh nhất","Thiết kế mới mỏng nhẹ hơn nhưng vẫn giữ hiệu năng đỉnh cao","ASUS","active","1"
"Nothing Phone (2)","nothing-phone-2","599","20","Thiết kế độc bản với đèn Glyph","Sự kết hợp hoàn hảo giữa phần cứng và phần mềm Nothing OS","Nothing","active","1"
"iPhone 15","iphone-15","799","10","iPhone tiêu chuẩn với Dynamic Island","Chip A16 Bionic và cổng USB-C tiện dụng","Apple","active","1"
"Samsung Galaxy Z Fold 5","samsung-galaxy-z-fold-5","1799","15","Điện thoại màn hình gập tối thượng","Màn hình lớn như máy tính bảng gập lại vừa túi quần","Samsung","active","1"
"Samsung Galaxy Z Flip 5","samsung-galaxy-z-flip-5","999","18","Điện thoại gập vỏ sò thời trang","Màn hình ngoài lớn hơn và thiết kế gập không khe hở","Samsung","active","1"
"MacBook Pro 14 M3","macbook-pro-14-m3","1599","5","MacBook Pro cho mọi người","Hiệu năng Pro trong một thiết kế nhỏ gọn và màn hình Liquid Retina XDR","Apple","active","5"
"HP Spectre x360 14","hp-spectre-x360-14","1299","10","Laptop xoay gập 2-trong-1","Thiết kế tinh xảo với màn hình OLED cảm ứng đa điểm","HP","active","5"
"Lenovo Yoga 9i","lenovo-yoga-9i","1399","12","Laptop multimedia đỉnh cao","Âm thanh vòm Bowers & Wilkins và thiết kế bo cong cao cấp","Lenovo","active","5"
"Asus Zenbook 14 OLED","asus-zenbook-14-oled","999","15","Siêu mỏng nhẹ màn hình tuyệt đẹp","Laptop văn phòng hoàn hảo với màn hình OLED rực rỡ","ASUS","active","5"
"Acer Swift Go 14","acer-swift-go-14","799","20","Laptop văn phòng giá tốt","Cấu hình mạnh mẽ trong một thân máy nhôm nhẹ","Acer","active","5"
"MSI Raider GE78","msi-raider-ge-78","2499","10","Quái vật gaming thực thụ","Cấu hình khủng nhất với dải đèn LED RGB đặc trưng","MSI","active","5"
"Razer Blade 16","razer-blade-16","2999","5","Laptop gaming cao cấp nhất","Vỏ nhôm nguyên khối và màn hình Mini-LED dual mode","Razer","active","5"
"Gigabyte Aorus 17X","gigabyte-aorus-17x","2199","12","Laptop gaming màn hình lớn","Trải nghiệm chơi game đỉnh cao trên màn hình 17 inch","Gigabyte","active","5"
"Microsoft Surface Laptop 5","microsoft-surface-laptop-5","999","15","Laptop Windows thuần khiết","Thiết kế sang trọng và bàn phím gõ sướng nhất","Microsoft","active","5"
"LG Gram 17 2024","lg-gram-17-2024","1499","10","Laptop 17 inch nhẹ nhất thế giới","Cực kỳ nhẹ nhưng vẫn bền bỉ chuẩn quân đội","LG","active","5"
"Sony WH-1000XM5","sony-wh-1000xm5","349","15","Tai nghe chống ồn số 1","Khả năng chống ồn tuyệt đối và chất âm chi tiết","Sony","active","12"
"Bose QuietComfort Ultra","bose-qc-ultra","429","10","Chống ồn và êm ái hàng đầu","Trải nghiệm âm thanh không gian sống động","Bose","active","12"
"Sennheiser Momentum 4","sennheiser-momentum-4","329","18","Chất âm Audiophile pin 60h","Thời lượng pin cực khủng và âm thanh trung thực","Sennheiser","active","12"
"Marshall Emberton II","marshall-emberton-ii","169","12","Loa bluetooth phong cách cổ điển","Âm thanh đa hướng và thiết kế retro đặc trưng","Marshall","active","12"
